State/Territory,# of,State/Territory.1,# of.1,State/Territory.2,# of.2
Alabama,7,Massachusetts,26,South Dakota,1
Alaska,0,Michigan,11,Tennessee,6
Arizona,1,Minnesota,6,Texas,19
Arkansas,2,Mississippi,1,Utah,7
California,17,Missouri,12,Vermont,1
Colorado,7,Montana,1,Virginia,10
Connecticut,3,Nebraska,4,Washington,8
Delaware,0,Nevada,1,West Virginia,1
Florida,17,Hampshire,1,Wisconsin,6
Georgia,16,New Jersey,11,Wyoming,1
Idaho,6,New York,31,Columbia,2
Indiana,13,North Dakota,1,Puerto Rico,1
Kentucky,5,Oregon,2,Other Country,9
Maine,4,Rhode Island,4,TOTAL,381
